User_Id,Place_Id,Place_Ratings,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate,Latitude,Longitude,Location,Age
1,89,3.0,De Mata Museum Jogja,"Museum De Mata merupakan salah satu museum yang berisi lukisan 3D terbanyak di dunia. Jumlah lukisannya sekitar 120 dan setiap lukisan memiliki konsep dengan latar belakang yang terlihat seperti nyata. Ada beberapa ukuran lukisan yang ada di Museum De Mata dari ukuran biasa sampai mencapai 5 meter. Ada beberapa macam kategori lukisannya yaitu ornament, lanscape, olahraga, tokoh-tokoh terkenal, superhero, sampai lukisan sirkus. Museum ini didirikan untuk masyarakat menghabiskan liburan dengan menambah pengetahuan. Museum ini menawarkan banyak lukisan-lukisan yang unik misalnya terdapat lukisan dimana anda dapat merasakan keseruan berjalan di atas jembatan kayu yang dibawahnya terdapat jurang yang curam Atau berjuang untuk memadamkan semburanapi panas ari mulut naga, lukisan tersebut tampak seolah-olah nyata. Semua itu terdapat di dalam museum De Mata dengan hasil efek yang menipu mata.",Budaya,Yogyakarta,50000,4.4,60.0,"{'lat': -7.816315599999999, 'lng': 110.3871442}",-7.8163156,110.3871442,"Semarang, Jawa Tengah",20.0
1,101,4.0,Kampung Wisata Sosro Menduran,"Kampung wisata Sosromenduran merupakan kampung wisata yang sangat unik karena berbasis multi culture, akomodasi dan belanja sekaligus berfungsi sebagai penyangga kawasan Objek Wisata Malioboro. Secara kewilayahan kampung wisata sosromenduran berada di Kelurahan Sosromenduran Kecamatan Gedongtengen. Letaknya sangat strategis karena berada disamping dikawasan Malioboro juga sangat dekat dengan Stasiun Kereta Api Tugu serta banyak terdapat fasilitas kepariwisataan baik hotel, homestay, warung dan restoran, travel, money changer, coffee, rental mobil, sepeda motor bahkan sepeda ontel dan yang sangat menarik di kampung wisata Sosromenduran juga terdapat banyak produsen souvenir kaos oblong yang juga banyak dijual di sepanjang jalan malioboro",Budaya,Yogyakarta,0,4.0,60.0,"{'lat': -7.792189999999999, 'lng': 110.362151}",-7.79219,110.362151,"Semarang, Jawa Tengah",20.0
1,103,3.0,Tugu Pal Putih Jogja,"Tugu Yogyakarta (Jawa: , Tugu Ngayogyakarta) adalah sebuah landmark bersejarah yang penting di kota Yogyakarta, Indonesia. Tugu berarti tugu, yang biasanya dibangun sebagai simbol suatu kawasan yang mengkonseptualisasikan ciri-ciri kawasan tersebut. Karena latar belakang sejarahnya, Tugu Yogyakarta telah menjadi ikon sejarah kota. Tugu Yogyakarta terletak tepat di tengah persimpangan antara Jalan Mangkubumi, Jalan Sudirman, Jalan A.M Sangaji, dan Jalan Dipenogoro kota.
",Taman Hiburan,Yogyakarta,0,4.7,15.0,"{'lat': -7.782943699999998, 'lng': 110.3670548}",-7.7829437,110.3670548,"Semarang, Jawa Tengah",20.0
1,154,2.0,Pantai Ngrawe (Mesra),"Kabupaten Gunungkidul jadi salah satu wilayah di Yogyakarta dengan koleksi pantai terbanyak. Tak terhitung jumlah pantai yang ada di sepanjang pesisir selatannya. Ada yang tetap alami, ada juga yang sengaja mendapat sentuhan agar lebih apik. Salah satunya adalah Pantai Ngrawe yang terletak di Kemadang, Gunungkidul. Sebagai pantai wisata, pantai yang juga terkenal dengan Pantai Mesra ini populer berkat kekuatan media sosial. Sementara pantai lainnya menawarkan keindahan alami, Pantai Ngrawe justru menyajikan konsep “taman” yang tidak biasa. Tertarik untuk mencoba berwisata di taman pinggir pantai? Pantai ini bisa jadi pilihan yang tepat!",Bahari,Yogyakarta,10000,4.5,60.0,"{'lat': -8.1333389, 'lng': 110.5537405}",-8.1333389,110.5537405,"Semarang, Jawa Tengah",20.0
1,208,5.0,Taman Sungai Mudal,"Taman Sungai Mudal, sebuah objek wisata alam terbuka yang terletak di Kabupaten Kulon Progo, yang menawarkan pesona sebuah kolam pemandian yang bersumber dari mata air alami. Mata airnya bersumber dari sebuah goa, sehingga kehadiran Taman Sungai Mudal menjadi mengesampingkan kesan angker dari sebuah goa. Apalagi ditambah dengan dukungan fasilitas yang membuat para wisatawan merasa nyaman saat berada di sana. Taman Sungai Mudal menjadi salah-satu wisata Kulon Progo yang selalu menjadi destinasi utama saat liburan tiba. Salah-satu alasan utamanya dikarenakan Taman Sungai Mudal mampu menjadi destinasi wisata keluarga yang menyenangkan.",Cagar Alam,Yogyakarta,10000,4.6,150.0,"{'lat': -7.762813599999998, 'lng': 110.1161626}",-7.7628136,110.1161626,"Semarang, Jawa Tengah",20.0
2,85,4.0,Taman Pintar Yogyakarta,"Taman Pintar Yogyakarta (bahasa Jawa: Hanacaraka,?????????????????????, Taman Pintar Ngayogyakarta) adalah wahana wisata yang terdapat di pusat Kota Yogyakarta, tepatnya di Jalan Panembahan Senopati No. 1-3, Yogyakarta, di kawasan Benteng Vredeburg. Taman ini memadukan tempat wisata rekreasi maupun edukasi dalam satu lokasi. Taman Pintar memiliki arena bermain sekaligus sarana edukasi yang terbagi dalam beberapa zona. Akses langsung kepada pusat buku eks Shopping Centre juga menambah nilai lebih Taman Pintar. Tempat rekreasi ini sangat baik untuk anak-anak pada masa perkembangan.\nBeberapa tahun ini Taman Pintar menjadi alternatif tempat berwisata bagi masyarakat Yogyakarta maupun luar kota.Taman ini, khususnya pada wahana pendidikan anak usia dini dilengkapi dengan teknologi interaktif digital serta pemetaan video yang akan memacu imajinasi anak serta ketertarikan mereka terhadap teknologi. Pada saat ini ada 35 zona dan 3.500 alat peraga permainan yang edukatif.",Taman Hiburan,Yogyakarta,6000,4.5,120.0,"{'lat': -7.800671500000001, 'lng': 110.3676551}",-7.8006715,110.3676551,"Bekasi, Jawa Barat",21.0
2,105,2.0,Candi Donotirto,"Walaupun melekat dengan kata candi, Candi Donotirto bukanlah peninggalan jaman Hindu-Buddha di Yogyakarta. Tempat ini dibangun oleh pemerintah Belanda. Ada dua bagian, yaitu bagian barat untuk kaum adam dan bagian timur untuk kaum hawa. Masing-masing dialiri oleh 5 buah pancuran air yang bersumber dari Sungai Winogo, berarti ada 10 buah pancuran di sana. Hingga kini, tempat ini tetap dirawat oleh warga sekitar walaupun digunakan sebagai WC umum. Oleh karenanya, janganlah berat tangan untuk menyisihkan uang Anda sebagai ganti biaya perawatan dan kebersihan tempat ini.",Budaya,Yogyakarta,0,4.4,25.0,"{'lat': -7.795561299999998, 'lng': 110.3612095}",-7.7955613,110.3612095,"Bekasi, Jawa Barat",21.0
2,107,2.0,Bangsal Pagelaran,"Bangunan utama adalah Bangsal Pagelaran yang dahulu dikenal dengan nama Tratag Rambat. Pada zamannya Pagelaran merupakan tempat para penggawa kesultanan menghadap Sultan pada upacara resmi. Sekarang sering digunakan untuk even-even pariwisata, religi, dan lain-lain disamping untuk upacara adat keraton. Sepasang Bangsal Pemandengan terletak di sisi jauh sebelah timur dan barat Pagelaran. Dahulu tempat ini digunakan oleh Sultan untuk menyaksikan latihan perang di Alun-alun Lor.
",Budaya,Yogyakarta,5000,4.6,60.0,"{'lat': -7.805284299999999, 'lng': 110.3642137}",-7.8052843,110.3642137,"Bekasi, Jawa Barat",21.0
2,111,2.0,Puncak Pinus Becici,"Puncak Pinus Becici atau Puncak Becici merupakan objek wisata yang berada di Desa Muntuk, Kecamatan Dlingo, Kabupaten Bantul, Yogyakarta. Pemandangan di kawasan ini sangat indah dengan hamparan perbukitan yang banyak di tumbuhi pohon pinus serta dapat melihat pesona Kota Yogyakarta dari ketinggian dengan gardu pandang. Dari bagian utara dapat melihat Candi Prambanan, bagian selatan terlihat garis lurus yang merupakan Pantai Selatan serta dapat melihat Gunung Merapi dan Gunung Sindoro.",Taman Hiburan,Yogyakarta,3000,4.5,60.0,"{'lat': -7.902035499999998, 'lng': 110.4374627}",-7.9020355,110.4374627,"Bekasi, Jawa Barat",21.0
2,147,2.0,Bentara Budaya Yogyakarta (BBY),"Bentara Budaya Yogyakarta adalah pusat budaya yang terletak di Yogyakarta, Indonesia. Bentara Budaya Yogyakarta dibuka pada 26 September 1982, didanai oleh Kompas Gramedia Group. Bentara Budaya Yogyakarta adalah cabang dari Bentara Budaya Jakarta, sebuah lembaga budaya yang dikelola oleh Kompas Gramedia Group yang juga memiliki beberapa pusat budaya di Jakarta, Surakarta (sebagai Balai Soedjatmoko), dan Bali.",Budaya,Yogyakarta,0,4.5,60.0,"{'lat': -7.7857242, 'lng': 110.3746954}",-7.7857242,110.3746954,"Bekasi, Jawa Barat",21.0
